transaction_id,customer_id,rules_triggered,risk_score,transaction_amount,transaction_date,merchant_category,location,is_fraud
TXN0012849,CUST00731,"R1_high_value, R2_rapid_succession, R3_multi_location, R4_spending_spike",11,264665.3,2024-02-23 15:16:16,Utilities,Unknown,1
TXN0013500,CUST01907,"R1_high_value, R2_rapid_succession, R4_spending_spike, R5_high_risk_category, R6_odd_hour_high_value",11,155222.58,2023-12-14 01:06:53,Rent,Surat,1
TXN0060041,CUST00731,"R1_high_value, R2_rapid_succession, R3_multi_location, R4_spending_spike",11,216095.5,2024-02-23 15:18:16,Utilities,Chennai,1
TXN0060083,CUST01907,"R1_high_value, R2_rapid_succession, R4_spending_spike, R5_high_risk_category, R6_odd_hour_high_value",11,152663.23,2023-12-14 01:09:53,Rent,Surat,1
TXN0005286,CUST01582,"R2_rapid_succession, R3_multi_location, R6_odd_hour_high_value",10,25243.45,2023-02-25 02:48:12,Travel,Bhopal,1
TXN0060132,CUST01333,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,320753.99,2023-06-04 01:30:59,Travel,Jaipur,1
TXN0054556,CUST02785,"R2_rapid_succession, R3_multi_location, R6_odd_hour_high_value",10,60643.9,2024-12-03 04:33:12,Fuel,Surat,1
TXN0002816,CUST02493,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,207494.18,2023-06-13 04:30:30,Shopping,Lucknow,1
TXN0052720,CUST00308,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,523406.29,2023-04-27 01:38:51,Investment,Delhi,0
TXN0060046,CUST01951,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,142127.71,2024-08-29 00:20:47,Electronics,Kochi,1
TXN0051512,CUST02611,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,185136.49,2023-03-11 01:56:22,Electronics,Hyderabad,1
TXN0034549,CUST02744,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,468426.27,2023-04-24 04:49:00,Shopping,Bhopal,1
TXN0060075,CUST02611,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,168651.36,2023-03-11 01:57:22,Electronics,Hyderabad,1
TXN0049395,CUST01138,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,459347.62,2023-08-29 02:17:25,Dining,Pune,1
TXN0045811,CUST01333,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,347377.83,2023-06-04 01:29:59,Travel,Jaipur,1
TXN0060094,CUST02785,"R2_rapid_succession, R3_multi_location, R6_odd_hour_high_value",10,51739.08,2024-12-03 04:34:12,Fuel,Unknown,1
TXN0060089,CUST02744,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,392230.93,2023-04-24 04:50:35,Shopping,Bhopal,1
TXN0060098,CUST01582,"R2_rapid_succession, R3_multi_location, R6_odd_hour_high_value",10,24086.16,2023-02-25 02:51:12,Travel,Unknown,1
TXN0060099,CUST01138,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,411236.75,2023-08-29 02:20:25,Dining,Pune,1
TXN0050709,CUST01951,"R1_high_value, R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",10,142196.45,2024-08-29 00:15:47,Electronics,Kochi,1
TXN0060005,CUST00183,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,382814.62,2024-08-03 01:56:27,Travel,Hyderabad,1
TXN0060067,CUST01300,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,115335.26,2023-06-24 01:10:27,Fuel,Delhi,1
TXN0000945,CUST00183,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,454767.35,2024-08-03 01:53:27,Travel,Hyderabad,1
TXN0060145,CUST02493,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,168745.02,2023-06-13 04:31:30,Shopping,Lucknow,1
TXN0060012,CUST02702,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,101278.46,2023-12-25 01:34:00,Utilities,Delhi,1
